종사자수_총소계,연간급여_합계,건물소유면적,건물임차면적,건물무상면적,건물합계면적,매출액,영업비용,인건비,임차료,기타영업비용,영업이익,사업체승수,종사자승수,매출액승수
36,1100,,,198,198,3966,4271,1432,91,2748,-305,1.83333,1.74317,1.8957471
23,361,,148,,148,96,401,372,13,16,-305,4,3.08197,9.6996124
7,109,,,1650,1650,340,644,129,5,510,-304,1.5,1.4878,1.7686833
22,654,,4959,,4959,1637,1931,729,260,942,-294,1,1,1
39,211,300,300,300,900,1073,1366,232,178,956,-293,2.33333,2.38356,2.6051628
34,831,8848,,,8848,2743,3035,1003,274,1758,-292,1,1,1
716,35199,73271,,,73271,105436,105727,46455,348,58924,-291,1,1,1
36,919,,643,,643,2764,3055,1026,0,2029,-291,1,1,1
12,308,420,1680,,2100,1065,1355,339,94,922,-290,3.5,3.44118,4.2498542
9,181,990,,,990,380,670,215,196,259,-290,1,1,1
7,151,,82,,82,718,1006,183,101,722,-288,27.33333,26.44681,30.7033245
23,905,4485,,,4485,1544,1831,933,18,880,-287,1,1,1
18,461,,891,,891,903,1188,495,75,618,-285,27.33333,26.05932,25.3995164
89,2128,28400,,,28400,8066,8348,2684,110,5554,-282,1,1,1
155,7359,446325,,,446325,9776,10058,8549,0,1509,-282,1,1,1
42,1496,34233,,,34233,7759,8039,1910,1235,4894,-280,1,1,1
14,469,495,,,495,1049,1328,522,119,687,-279,1,1,1
21,166,,330,,330,1495,1774,195,6,1573,-279,1,1,1
10,294,4224,,,4224,812,1091,330,0,761,-279,1,1,1
30,204,9130,,,9130,1,277,210,3,64,-276,1.6,1.5841,1.532989
10,426,,280,,280,1371,1646,505,393,748,-275,28.64,28.699,34.3062081
4,201,5081,,,5081,347,620,235,10,375,-273,1,1,1
7,300,,165,,165,902,1175,311,154,710,-273,1.5,1.47222,1.2402863
23,678,4135,,,4135,1835,2104,757,,1347,-269,1,1,1
37,193,,660,,660,979,1246,212,162,872,-267,2.33333,2.38356,2.6051628
76,1028,,1320,,1320,4145,4411,1258,311,2842,-266,1,1,1
2,,330,,,330,247,511,0,17,494,-264,252.53333,228.9881,224.3465793
9,107,,239,,239,2066,2329,142,10,2177,-263,2.33333,2.17391,1.9753338
20,738,6072,,,6072,2107,2370,863,38,1469,-263,1,1,1
31,713,3383,,,3383,2151,2412,847,33,1532,-261,1,1,1
7,158,,,718,718,166,426,190,5,231,-260,3,2.57143,1.8253012
13,1066,,155,,155,2953,3213,1117,333,1763,-260,27.33333,26.05932,25.3995164
7,187,,1582,,1582,457,715,209,77,429,-258,7.36364,7.85246,7.5273374
21,650,1008,,,1008,14457,14714,814,0,13900,-257,1,1,1
31,718,2129,,,2129,2051,2307,840,37,1430,-256,1,1,1
12,432,,462,,462,1139,1394,471,0,923,-255,1.66667,1.6474,2.0853272
50,576,5990,,,5990,2603,2857,759,175,1923,-254,1,1,1
56,745,,3300,,3300,2793,3045,863,175,2007,-252,1,1,1
19,82,,637,,637,850,1102,365,75,662,-252,8.66667,7.77419,6.6313153
3,68,,10,,10,729,979,73,5,901,-250,26.25,22.20548,13.1778426
587,8261,223666,,,223666,10596,10844,9685,161,998,-248,1,1,1
23,463,1340,,,1340,1104,1349,538,19,792,-245,1,1,1
230,2336,,5600,,5600,8781,9025,2681,675,5669,-244,1,1,1
14,336,,,571,571,1431,1673,356,121,1196,-242,2.6,2.625,1.6501022
32,806,3961,,,3961,1788,2028,902,110,1016,-240,1,1,1
125,3738,12127,,,12127,14694,14933,4466,20,10447,-239,1,1,1
29,834,,6074,,6074,2392,2630,1035,668,927,-238,1,1,1
26,1206,20348,,,20348,2699,2933,1467,39,1427,-234,1,1,1
60,1429,,192,,192,4618,4846,1772,505,2569,-228,1,1,1
22,507,6481,1154,,7635,1174,1401,539,7,855,-227,1,1,1
9,147,,330,,330,576,801,158,61,582,-225,29.26471,28.62381,24.4345744
8,206,,495,,495,754,976,249,13,714,-222,29.26471,28.62381,24.4345744
7,143,,224,,224,590,811,164,42,605,-221,39.66667,32.7619,18.1541894
11,330,,116,,116,1161,1380,377,72,931,-219,1.66667,1.82857,1.867111
41,1247,40350,,,40350,2465,2684,1348,38,1298,-219,1.6,1.5841,1.532989
16,29,825,,,825,1159,1376,35,30,1311,-217,2.09091,1.96053,2.0253238
49,1087,,18688,,18688,6093,6310,1593,3016,1701,-217,1,1,1
31,749,7226,,,7226,2969,3185,892,375,1918,-216,1,1,1
16,440,4158,,,4158,1082,1298,469,3,826,-216,1,1,1
42,1044,4358,,,4358,5743,5959,1299,2472,2188,-216,1,1,1
11,351,,3647,,3647,637,852,390,50,412,-215,1.33333,1.33628,1.1854914
12,390,,231,,231,908,1122,435,98,589,-214,7.9375,7.21429,6.1277767
18,275,,528,,528,806,1019,305,167,547,-213,27.06897,25.94778,21.0427541
20,340,297,,,297,934,1146,380,26,740,-212,1,1,1
59,1080,14704,,,14704,3459,3671,1219,31,2421,-212,1,1,1
22,777,,,,,2297,2508,881,191,1436,-211,1.11111,1.08734,1.1570254
17,236,,254,,254,914,1123,237,163,723,-209,4.83333,4.80793,3.7670978
7,190,,808,,808,838,1046,208,63,775,-208,28.875,32.83721,21.1047896
45,1395,16766,,,16766,5500,5707,1471,33,4203,-207,1,1,1
54,943,,19915,,19915,14202,14408,1228,2304,10876,-206,1,1,1
38,1246,6865,,,6865,3096,3301,1449,25,1827,-205,1.16667,1.12644,1.0852048
4,86,,660,,660,458,663,87,94,482,-205,22.28571,19.52778,11.4314421
12,261,,593,,593,358,562,279,41,242,-204,5.14286,5.13218,3.8918891
21,657,,495,,495,2390,2593,761,319,1513,-203,6.06061,5.15775,4.8206728
23,766,,1320,,1320,2156,2359,790,96,1473,-203,1,1,1
59,782,,1277,,1277,3152,3354,957,236,2161,-202,1,1,1
25,556,7964,,,7964,940,1141,646,27,468,-201,1,1,1
24,,,813,,813,400,600,,200,400,-200,2.84615,2.38741,1.9709277
20,814,,2109,,2109,1805,2005,913,116,976,-200,3.94595,3.60105,3.7406611
81,876,,3960,,3960,3082,3282,908,130,2244,-200,1,1,1
21,688,4887,,,4887,2729,2928,819,344,1765,-199,1,1,1
11,301,,198,,198,1056,1255,344,66,845,-199,1.66667,1.82857,1.867111
33,589,14255,,,14255,2707,2905,863,0,2042,-198,1,1,1
4,103,,53,,53,784,982,118,219,645,-198,15.33333,11.78261,5.2750592
25,812,10299,,,10299,2828,3025,913,20,2092,-197,1,1,1
13,845,,,495,495,10669,10865,1416,101,9348,-196,1,1,1
31,677,9063,,,9063,2685,2880,806,339,1735,-195,1,1,1
35,1681,,750,,750,5786,5981,1875,836,3270,-195,2.28571,2.19666,1.920066
26,676,4587,,,4587,2680,2875,805,338,1732,-195,1,1,1
11,221,,429,,429,848,1040,232,104,704,-192,6.38462,6.81081,4.4643095
